,id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,outcome_id,outcome_name,counterpress,under_pressure,dribble_overrun,pass_cross,pass_cut_back,off_camera,out,aerial_won,pass_switch,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,technique_id,technique_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,end_z,shot_key_pass_id,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,substitution_replacement_id,substitution_replacement_name,shot_first_time,shot_one_on_one,pass_deflected,pass_goal_assist,pass_no_touch,block_offensive,block_deflection,injury_stoppage_in_chain,block_save_block,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,shot_deflected,shot_open_goal,ball_recovery_offensive,pass_miscommunication,player_off_permanent,dribble_no_touch,foul_committed_penalty,foul_won_penalty,shot_follows_dribble,shot_redirect
2344,f40f66a0-02f7-4729-bff9-206ac814ad4a,2580,2,00:25:55,70,55,153,0.109215,3813308,16,Shot,7291,Odisha,4,From Throw In,7291,Odisha,,162219.0,Isaac Vanmalsawma Chhakchhuak,15.0,Left Center Midfield,,,,,,,98.9,34.2,40.0,Right Foot,87.0,Open Play,83.3875,27.795000000000005,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.03018593,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2345,8853554c-57f9-4656-85fa-cd30d64d9a65,2590,2,00:26:08,71,8,153,0.696487,3813308,16,Shot,7291,Odisha,4,From Throw In,7291,Odisha,,100434.0,Liridon Krasniqi,13.0,Right Center Midfield,,,,,,,117.8,39.5,40.0,Right Foot,87.0,Open Play,93.625,34.765,96.0,Blocked,,,,,,,,,,,,,91.0,Half Volley,,,0.15613757,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2346,f5e3b80d-5e30-410b-9426-a5bcb52ed701,2666,2,00:27:57,72,57,159,1.190725,3813308,16,Shot,7288,Goa,4,From Throw In,7288,Goa,,165325.0,Muhammed Nemil Valiyattil,19.0,Center Attacking Midfield,,,,,,,118.8,38.8,38.0,Left Foot,87.0,Open Play,77.525,27.54,100.0,Saved,,,,,,,,,,,,,93.0,Normal,,,0.021125907,0.8,a3d76764-589d-4381-b04d-841825dbf6ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,733e2e4f-2814-44b9-830a-a5eabd806a14,3101,2,00:40:09,85,9,188,1.705331,3813308,16,Shot,7291,Odisha,2,From Corner,7291,Odisha,,24860.0,Héctor Rodas Ramírez,3.0,Right Center Back,,,,,,,108.1,39.0,40.0,Right Foot,87.0,Open Play,94.5875,37.145,101.0,Wayward,,,,,,,,,,,,,95.0,Volley,,,0.052007347,,ac9e2d94-bc0b-479f-b5fe-e41f8b7f903a,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2348,a4fae45a-0b27-4abd-bf02-5031d880859a,3339,2,00:46:21,91,21,202,0.454625,3813308,16,Shot,7291,Odisha,6,From Counter,7291,Odisha,,100434.0,Liridon Krasniqi,13.0,Right Center Midfield,,,,,,,114.0,38.0,40.0,Right Foot,87.0,Open Play,92.575,25.5,116.0,Saved to Post,,,,,,,,,,,,,93.0,Normal,,,0.23263127,0.8,190fd3a0-ef3b-454d-9c09-76802383c9c9,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2349,48e4c97a-3939-41ba-9c8c-6a21f9ca2e3f,195,1,00:06:09,6,9,15,1.416997,3813301,16,Shot,7285,NorthEast United,1,Regular Play,7285,NorthEast United,,162762.0,Mathias Coureur,13.0,Right Center Midfield,,,,,,,120.0,44.7,40.0,Right Foot,87.0,Open Play,83.3875,25.075,98.0,Off T,,,,,,,,,,,,,91.0,Half Volley,,,0.022787638,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,b117fe37-2ac2-4cd3-be1a-cda73b1fe16e,205,1,00:06:36,6,36,17,0.084793,3813301,16,Shot,7285,NorthEast United,1,Regular Play,7285,NorthEast United,,34146.0,Deshorn Brown,23.0,Center Forward,,,,,,,102.9,38.5,38.0,Left Foot,87.0,Open Play,87.2375,32.895,96.0,Blocked,,,,,,,,,,,,,93.0,Normal,,,0.04624276,,9af5e309-8ec2-4096-b632-3e49743a0ca6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,68ed7f04-b623-41e7-a65a-309d120527c6,217,1,00:07:14,7,14,18,0.743203,3813301,16,Shot,7285,NorthEast United,4,From Throw In,7285,NorthEast United,,162753.0,Suhair Vadakkepeedika,21.0,Left Wing,,,,,,,120.0,44.5,37.0,Head,87.0,Open Play,100.3625,44.455,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.024600131,1.3,df72ddd7-5a26-4f02-9954-ce7c9f0b8cd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,7add2158-74b6-4611-9107-32d2376a0068,323,1,00:09:50,9,50,24,0.831767,3813301,16,Shot,7291,Odisha,1,Regular Play,7285,NorthEast United,,34146.0,Deshorn Brown,23.0,Center Forward,,,,,,,120.0,33.4,38.0,Left Foot,87.0,Open Play,92.575,17.764999999999997,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.010335534,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,f65d59a1-deef-4a63-86f2-ea2421c83a2f,756,1,00:22:39,22,39,48,1.141542,3813301,16,Shot,7285,NorthEast United,3,From Free Kick,7285,NorthEast United,,15805.0,Hernán Daniel Santana Trujillo,5.0,Left Center Back,,,,,,,120.0,46.9,37.0,Head,87.0,Open Play,95.9,42.33,98.0,Off T,,,,,,,,,,,,,93.0,Normal,,,0.035023365,2.2,b9826467-484a-4590-889c-0e4ac57d2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
